ID,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
604399,2013-08-01,present,software engineer,Gurgaon,f,1990-10-22,87.8,cbse,2009,84.0,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2013,650,665,810,0.694479327708463,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
988334,2014-07-01,2014-08-01 00:00:00,web developer,Delhi,m,1990-05-15,57.0,cbse,2010,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65.0,6624,0,Uttar Pradesh,2014,440,435,210,0.342314899911815,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
301647,2013-04-01,2015-04-01 00:00:00,software test engineer,Pune,m,1989-08-21,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,485,475,505,0.824666400671332,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
582313,2013-10-01,present,system engineer,Chandigarh,m,1991-05-04,84.3,cbse,2009,86.0,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,675,620,635,0.990008756723898,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
339001,2013-01-01,2013-09-01 00:00:00,sales executive,chennai,f,1990-10-30,82.0,cbse,2008,75.0,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,575,495,365,0.278457409311292,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,200000
609356,2013-10-01,2015-04-01 00:00:00,software developer,Gurgaon,f,1989-12-02,83.16,icse,2007,77.0,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,535,595,620,0.376059586651545,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
1081649,2014-02-01,2014-04-01 00:00:00,mechanical design engineer,Kolkata,f,1989-04-17,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68.0,14381,1,West Bengal,2013,510,495,405,0.829584599793067,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
610842,2014-11-01,2015-04-01 00:00:00,software developer,Hyderabad,f,1991-04-11,77.0,state board,2009,88.0,state board,13208,2,B.Tech/B.E.,computer science & engineering,71.0,13208,1,Telangana,2013,370,470,280,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
1183070,2014-06-01,2015-03-01 00:00:00,java developer,-1,m,1992-11-25,76.8,state board,2010,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,510,555,440,0.744758354008939,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
794062,2014-06-01,2015-05-01 00:00:00,jr. software developer,New Delhi,f,1993-03-15,57.0,state board,2009,73.0,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2014,500,410,560,0.622642915849938,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
